id,setting_key,setting_value,setting_type,category,label,sort_order,is_enabled,created_at,updated_at
a3336661-3681-4a67-b466-2d61b6c11e8f,app_ios_url,,text,app,iOS App URL,2,true,2026-03-26 17:47:05.548851+00,2026-03-30 14:13:33.953+00
abdd7ccd-340a-4edb-a445-7a25602ef15c,policy_link_privacy_active,true,boolean,policy_links,Privacy Policy - Active,9,true,2026-03-26 18:07:58.73273+00,2026-03-30 14:13:42.409+00
c2042d09-a517-425d-b31a-0abb81f02bba,policy_link_terms_active,true,boolean,policy_links,Terms & Conditions - Active,6,true,2026-03-26 18:07:58.73273+00,2026-03-30 14:13:37.069+00
c352a152-1e47-44d5-b94f-6c044d79acba,app_android_url,https://play.google.com/store/apps/details?id=com.boiaro.app,text,app,Android App URL,1,true,2026-03-26 17:47:05.548851+00,2026-03-30 14:13:29.081+00
ccaed06b-3d69-46fc-b225-ee2777584cd5,policy_link_privacy_url,/page/privacy-policy,text,policy_links,Privacy Policy - URL,8,true,2026-03-26 18:07:58.73273+00,2026-03-30 14:13:42.188+00
deb6c10a-272e-4d5f-a374-b6552cebaf44,policy_link_privacy_label,Privacy Policy,text,policy_links,Privacy Policy - Label,7,true,2026-03-26 18:07:58.73273+00,2026-03-30 14:13:38.342+00
e3fc3eec-8617-4e2e-8948-f55d04ebf616,follow_us_text,"Stay connected with us for new releases, updates, and exclusive content.",textarea,social,Follow Us Description,0,true,2026-03-26 17:47:05.548851+00,2026-03-30 14:13:27.337+00
e5efbc0d-6eeb-429f-9bef-fbed0a1821f4,footer_section_about,true,boolean,footer,Show About Section,0,true,2026-03-26 17:55:13.150022+00,2026-03-30 14:13:26.944+00
f459daf5-9249-497d-a51d-2fb49fa51b0f,logo_url,https://kxpqejmjfnzhqcefyued.supabase.co/storage/v1/object/public/avatars/site/logo_url-1774878853187.png,image,brand,Logo,3,true,2026-03-26 17:47:05.548851+00,2026-03-30 14:13:34.624+00
f4684091-6fa0-473c-9008-2fa7d1cd104b,policy_link_refund_active,true,boolean,policy_links,Return & Refund - Active,12,true,2026-03-26 18:07:58.73273+00,2026-03-30 14:13:43.097+00
f995ef83-a083-4d5d-a35e-4d1ef69d9022,favicon_url,https://kxpqejmjfnzhqcefyued.supabase.co/storage/v1/object/public/avatars/site/favicon_url-1774627777321.png,image,brand,Favicon,4,true,2026-03-26 17:47:05.548851+00,2026-03-30 14:13:35.59+00
faab1102-b8d8-4aa8-8ac2-8887446df537,footer_about,"BoiAro is your digital destination for Bengali literature — read eBooks, listen to audiobooks, and order hard copies in one place.",textarea,footer,About Text,1,true,2026-03-26 17:47:05.548851+00,2026-03-30 14:13:29.449+00
fac7e598-4ce5-428a-ad80-bc0431b4d91d,app_download_enabled,false,boolean,app,Show App Download,0,true,2026-03-26 17:47:05.548851+00,2026-03-30 14:13:26.347+00
fbeaaf79-5af8-4a2e-a3fc-ff99f2d55128,footer_trust_line,Trusted by readers across Bangladesh.,text,footer,Trust Line,2,true,2026-03-26 17:47:05.548851+00,2026-03-30 14:13:30.057+00
fe3ec81b-1d87-4a66-9b52-0f357c10b386,policy_link_terms_url,/page/terms-and-conditions,text,policy_links,Terms & Conditions - URL,5,true,2026-03-26 18:07:58.73273+00,2026-03-30 14:13:36.377+00
